department,service_name,pdf_link,application_fee,service_charge,documents
Civil Supplies and Consumer Protection department,Family Head Member Change,PPT/User_Manual_CSC_PDS-503_Family_Head_Member_Change.pdf,0,30,NA
Civil Supplies and Consumer Protection department,Removal of Family Member in Ration Card,PPT/User_Manual_CSC_PDS_504_Removal_of_Family_Member_in_Ration_card.pdf,0,30,NA
Civil Supplies and Consumer Protection department,Change of Address in Ration Card,PPT/User_Manual_CSC_PDS_505_Change_of_address_in_Ration_card_docx.pdf,0,30,NA
Civil Supplies and Consumer Protection department,Re-Print of Smartcard Application,PPT/User_Manual_CSC_PDS-506_Reprint_of_Smartcard_Application.pdf,0,30,NA
Commisionerate Municipal Administration,Collection of Non Tax,PPT/CollectionofNonTax_CMA.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Commisionerate Municipal Administration,Collection of Professional Tax,PPT/CollectionofProfessionalTax_CMA.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Commisionerate Municipal Administration,Collection of Property tax,PPT/CollectionofPropertytax_CMA.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Commisionerate Municipal Administration,Collection of Underground Drainage Charge,PPT/CollectionofUndergroundDrainageCharge_CMA.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Commisionerate Municipal Administration,Collection of Water Charges,PPT/CollectionofWaterCharges_CMA.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Commissionerate of School Education,Issuance of PSTM Certificate for Govt Schools,,0,60,NA
Commisionerate of Transport,eChallan Payment,PPT/TPD-601 eChallan Payment Usermanual.pdf,0,5- upto 250 5% of fine amount above 250,NA
Directorate of Boilers,Registration of Boiler under boilers act,PPT/DBL_401_RegistrationofLicenseunderBoilersAct_Operator.pdf,0,200,1.Form No. II or Form No. XVII 2.Form No. III 3.Form No. IIIA 4.Form No. IIIB 5.Form No. IIIC 6.Form No. IV or IV A 7.Drawings 8.Other Documents
Directorate of Boilers,Renewal of License under boilers act,PPT/RenewalofLicenseunderBoilersAct_Operator.pdf,0,200,Previous Licence copy Other Documents
Directorate of Boilers,Application for Approval of Manufacturer/Erector of Boilers,PPT/CSCOperator_DBL-403_ManufacturerErector_Boilers.pdf,0,200,NA
Directorate of Boilers,Application for Renewal of Manufacturer/Erector of Boilers,PPT/CSCOperator_DBL-404_Renewal_of_ManufacturerErector_Boilers.pdf,0,200,NA
Directorate of Boilers,Steam Test For Boilers,PPT/User Manual(Applicant_CSC)_DBL_405_Steam Test for Boilers.pdf,0,200,NA
Directorate of Fire & Rescue,MSB Compliance Certificate,PPT/UserManual(CSCOperator)_DFR-101_MSBCompliance.pdf,0,10,"1. Planning Permission NOC from Fire Department 2. Planning Permission from Competent Authority (Local Body, DTCP, CMDA, etc.) 3. Approved Plan from Competent Authority (Local Body, DTCP, CMDA, etc.) 4. Ownership Proof or Rental or Lease Agreement 5. ID Proof 6. Address Proof 7. Covering Letter"
Directorate of Fire & Rescue,NOC for MSB Planning Permission,PPT/UserManual(CSCOperator)_DFR-102_NOCforMSBPlanningPermission.pdf,0,10,1. Proposed Building Plan (Certified by Approved Panel Engineer from the Local Body) 2. Proposed Fire Plan (Certified by Approved Panel Engineer from the Local Body) 3. Ownership Proof or Rental or Lease Agreement 4. ID Proof 5. Address Proof 6. Covering Letter
Directorate of Fire & Rescue,NOC for Non - MSB Planning Permission,PPT/UserManualCSCOperator_DFR_103_NOCforNon_MSBPlanningPermission.pdf,0,10,1. Proposed Building Plan (Certified by Approved Panel Engineer from the Local Body) 2. Proposed Fire Plan (Certified by Approved Panel Engineer from the Local Body) 3. Ownership Proof or Rental or Lease Agreement 4. ID Proof 5. Address Proof 6. Covering Letter
Directorate of Fire & Rescue,MSB Fire License Registration and Renewal,PPT/UserManualCSCOperator_DFR_401_MSBFireLicenseRegistrationandRenew.pdf,0,10,"1. Compliance Certification from Fire Department 2. Planning Permission from Competent Authority (Local Body, DTCP, CMDA, etc.) 3. Approved Plan from Competent Authority (Local Body, DTCP, CMDA, etc.) 4. Ownership Proof or Rental or Lease Agreement 5. ID Proof 6. Address Proof 7. Covering Letter"
Directorate of Fire & Rescue,Non - MSB Fire License Registration and Renewal,PPT/UserManualCSCOperator_DFR_402_Non_MSBFireLicenseRegistrationandR.pdf,0,10,"1. Planning Permission from Competent Authority (Local Body, DTCP, CMDA, etc.) 2. Approved Plan from Competent Authority (Local Body, DTCP, CMDA, etc.) 3. Ownership Proof or Rental or Lease Agreement 4. ID Proof 5. Address Proof 6. Covering Letter"
Directorate of Handlooms & Textiles,Application for Scholarship Under Dr.MGR Handloom Weavers Welfare Trust,PPT/DHT201AppScholarshipHandloomoperator.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Bonafide Certificate 4.First page of Bank Passbook 5.Mark sheet 6.Member ID Card and Other Documents
Directorate of Handlooms & Textiles,Application for Tamil Nadu Co-operative Handloom Weavers Savings and Security Scheme – Enrolment,PPT/DHT202AppTNCooperativeHandlooms.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.First page of Bank Passbook 4.Other Document 5.Ration Card 6.Society Membership ID card 7.Voter ID
Directorate of Handlooms & Textiles,Application for Tamil Nadu Co-operative Handloom Old Age Pension Scheme,PPT/DHT203AppTNHandOldAgePensionScheme.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.First page of Bank Passbook 4.Member Passbook and Other Documents 5.Membership ID card 6.OAP Scheme Member Admission Order Copy 7.Ration Card 8.Voter ID
Directorate of Handlooms & Textiles,Application for Tamil Nadu Co-operative Handloom Weavers Family Pension Scheme,PPT/DHT204AppTNHandloomsWeaversFamily.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Death Certificate of the Weaver 4.First page of Bank Passbook 5.Legal Heir Certificate 6.Member Passbook and Other Documents 7.Membership ID card 8.Ration Card 9.Voter ID 10.Family Pension Scheme Member Admission Order Copy 11.Death Certificate of Nominee
Directorate of Handlooms & Textiles,Application for Life Insurance Schemes for Handlooms Weavers and Ancillary Workers - Enrolment,PPT/DHT205AppLifeInsuranceHandloomWeaversAncillaryWorkers.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.First page of the Bank Passbook 4.Proof of Weaver / Ancillary Worker 5.Ration Card 6.Voter ID 7.Member ID Card 8.Member Passbook and Other Documents
Directorate of Handlooms & Textiles,Application for Enrolment Shiksha Sahayog Yojana Scheme under Mahatma Gandhi Bunkar Bima Yojana,PPT/DHT206AppEnrollmentClaimofShikshaSahayogYojanaMGandhiBBYojana.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Bonafide Certificate 4.ECS Mandate 5.First page of the Bank Passbook 6.Mark Sheet 7.Previous Installment Utilization Certificate 8.Ration Card 9.Voter ID Card 10.Member ID Card 11.Member Passbook and Other Documents 12.MGBBY Member Admission Order Copy
Directorate of Handlooms & Textiles,Application for Tamil Nadu Co-operative Handlooms Weavers Savings and Security Scheme – Claim (Weaver),PPT/DHT207AppTNHandloomsWeaverSavingsSecuritySchemeWeaver.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.First page of Bank Passbook 4.Member Passbook and other Documents 5.Membership ID card 6.Ration Card 7.Voter ID
Directorate of Handlooms & Textiles,Application for Tamil Nadu Co-operative Handlooms Weavers Savings and Security Scheme – Claim (Nominee),PPT/DHT208AppTNHandloomsWeaverSavingsSecurityNominee.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Death Certificate of the Weaver 4.First page of Bank Passbook 5.Legal Heir Certificate if Nominee is Death 6.Member Passbook and other Documents 7.Membership ID card 8.Ration Card 9.Voter ID
Directorate of Handlooms & Textiles,Application for Life Insurance Schemes for Handlooms Weavers and Ancillary Workers – Claim (Disability),PPT/DHT209AppLifeInsuranceHandloomWeaversAncillaryWorkersDisability.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Disability Certificate issued by appropriate Authority 4.ECS Mandate 5.FIR Copy 6.First page of the Bank Passbook 7.Police Investigation Report 8.Ration Card 9.Voter ID 10.LIC Annexure III 11.Member ID Card 12.Member Passbook and Other Document 13.MGBBY Member Admission Order Copy 14.Discharge Receipt
Directorate of Handlooms & Textiles,Application for Life Insurance Schemes for Handlooms Weavers and Ancillary Workers – Claim (Death),PPT/DHT210AppLifeInsuranceHandloomWeaversAncillaryWorkersDeath.pdf,0,60,1.Aadhaar Card 2.Applicant Photo 3.Death Certificate of Weaver 4.ECS Mandate 5.First Page of Bank Passbook 6.Legal Heir Certificate (If Nominee is Death) 7.LIC Annexure III 8.Member Passbook 9.Membership ID Card 10.MGBBY Member Admission Order Copy 11.Other Documents 12.Police Investigation Report (Mandatory for Accidental Death) 13.Post Mortem Report (Mandatory for Accidental Death) 14.Ration Card 15.Voter ID 16.Employer Statement 17.FIR Copy (Mandatory for Accidental Death) 18.Declaration Form 19.Discharge Receipt 20.Claim Form 21.Claimant's Statement
Directorate of Handlooms & Textiles,Application for Scholarships under Dr.MGR Handloom Weavers Welfare Trust Renewal,PPT/DHT211AppScholarshipunderMGRHandloomWeaversRenewal.pdf,0,60,1. Bonafide Certificate
Directorate of Public Health,CRS-Death Registration,PPT/DPH101DeathRegistationUsermanual.pdf,0,100,NA
Directorate of Public Health,Printing of Birth Certificate,PPT/PrintingofBirthCertificate_UM.pdf,0,100,NA
Directorate of Public Health,Printing of Death Certificate,PPT/PrintingofDeathCertificate_UM.pdf,0,100,NA
Employment & Training,Printing of registration ID,PPT/User Manual_for Employment_502 Printing of Registration ID.pdf,0,60,NA
Employment & Training,Application for Renewal,PPT/User Manual_for Employment_504 Application for Renewal.pdf,0,15,NA
Employment & Training,Application for profile updation,,0,10,NA
Employment & Training,Application for Registration,,0,10,NA
Greater Chennai Corporation,Printing of Birth Certificate,PPT/COC_101_PrintingofBirthCertificate.pdf,0,40,NA
Greater Chennai Corporation,Printing of Death Certificate,PPT/COC_102_PrintingofDeathCertificate.pdf,0,40,NA
Greater Chennai Corporation,Collection of property tax,PPT/COC-603_Collection of Property Tax.pdf,0,40,NA
Greater Chennai Corporation,Renewal of trade license,PPT/COC-401_Renewal of Trade License.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Greater Chennai Corporation,Collection of company tax,PPT/COC-601_Collection of Company Tax.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Greater Chennai Corporation,Collection of professional tax,PPT/COC-602_Collection of Professional Tax.pdf,Upto 1000 1001 - 3000 3001 - 5000 5001 – 10000 10001 above,15 25 40 50 60,NA
Inspectorate General of Registration,Issuance of Encumbrance Certificate,PPT/IGR 401 Issue of Encumbrance Certificate.pdf,0,10,NA
Inspectorate General of Registration,Issuance of Certified Copies,PPT/IGR 402 Issue of Certified Copy.pdf,0,10,NA
Inspectorate General of Registration,EC Download,PPT/IGR 403 Printing of Encumbrance Certificate.pdf,0,2,NA
Inspectorate General of Registration,CC Download,PPT/IGR 403 Printing of Certified Copy.pdf,0,2,NA
Integrated Financial and Human Resource Management System,Generation of Challan with online payment,PPT/IFH 401 Generation of Challan with Online payment.pdf,Upto 5000 5001 to 10000 10001 above,50 75 100,NA
Revenue Administration,e-Adangal Extract Download,,0,60,NA
Revenue Administration,Community Certificate,PPT/CSCOperator_REV-101_CommunityCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Community Certificate of Father or Community Certificate of Mother or Community Certificate of Siblings 4. Self-Declaration of Applicant 5. DNC Certificate
Revenue Administration,Nativity Certificate,PPT/CSCOperator_REV-102_NativityCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Birth Certificate 4. School Education Certificate(or) Employment Details(or)other proof to prove continuous residence of 5 years 5. Self-Declaration of Applicant
Revenue Administration,Income Certificate,PPT/CSCOperator_REV-103_IncomeCertificate.pdf,0,60,1. Applicant Photo 2. Any Address Proof 3. TIN Number and the Trade 4. Details of Land Holdings 5. Details of houses owned ward wise 6. Family or Smart Card 7. Self-Declaration of Applicant 8. Salary Certificate(Latest Copy) 9. PAN card
Revenue Administration,First Graduate Certificate,PPT/CSCOperator_REV-104_FirstGraduateCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Applicant Transfer Certificate 4. Self-Declaration of Father 5. Self-Declaration of Mother 6. Father Transfer Certificate 7. Mother Transfer Certificate 8. Family or Smart Card 9. Self-Declaration of Applicant 10. Current Academic year Certificates
Revenue Administration,Deserted Woman Certificate,PPT/CSCOperator_REV-105DesertedWomanCertificate.pdf,0,60,1. Photo 2. Proof of Residence 3. Proof of Marriage 4. Self-Declaration of Applicant 5. Proof of Desertion or FIR Details
Revenue Administration,Agricultural Income Certificate,PPT/CSCOperator_REV-106_AgriculturalIncomeCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Last One Year Adangal 4. Self-Declaration of Applicant 5. Chitta 6. Proof of Lease (NOC from the Landholder) 7. Other Documents
Revenue Administration,Family Migration Certificate,PPT/CSCOperator_REV-107_FamilyMigrationCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Self-Declaration of Applicant 4. Marriage Invitation or Marriage Certificate 5. Previous Residence Address Proof Document 6. Other Documents
Revenue Administration,Unemployment Certificate,PPT/CSCOperator_REV-108_UnemploymentCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Educational Qualification Proof 4. Transfer Certificate 5. Family Income Certificate 6. Self-Declaration of Applicant 7. Employment Card 8. Other Documents
Revenue Administration,Widow Certificate,PPT/CSCOperator_REV-109_WidowCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Death Certificate of Husband 4. Marriage Registration certificate or any other documents to prove marriage 5. Self Declaration of Applicant 6. Other Documents
Revenue Administration,Certificate for Loss of Educational Records due to disasters,PPT/CSCOperator_REV-111_CertificateForLossofEducationalRecordsduetoDisasters.pdf,0,60,Supporting Documents 1. Photo 2. Residence Proof 3. Self-Declaration of Applicant 4. Damage Certificate Xerox Copy
Revenue Administration,Inter Caste Marriage Certificate,PPT/CSCOperator_REV-113_IntercasteMarriageCertificate.pdf,0,60,1. Combined Photo of Husband and Wife 2. Permanent Community Certificate of the Groom 3. Permanent Community Certificate of the Bride 4. Marriage Registration Certificate 5. Self-Declaration of Applicant 6. Any Address Proof
Revenue Administration,Legal Heir Certificate,PPT/CSCOperator_REV-114_LegalHeirCertificate.pdf,0,60,1. Address of the deceased where he ordinarily resided before death (any one from the below document list) 2. Divorce Copy 3. Death Certificate of First Wife 4. Evidence for second marriage 5. Self-Declaration of the spouse indicating all other legal heirs (including Mother in law) 6. Marriage Registration Certificate or Passport or Voter ID or Aadhaar Cards or NPR data to establish relationship 7. Birth Certificate of all the children or T.C of all the children 8. Death Certificate of the deceased 9. Death Certificate of both the parents 10. Birth Certificate or Community Certificate or Passport or Aadhaar (all eligible heirs) or TC or NPR or Employee Service Board 11. Birth Certificate or TC or NPR or Employee Service Record or Community Certificate or Passport or Voter ID or Aadhaar of all eligible heirs 12. Guardianship order issued by Honble Civil court to prove relationship to the heirs 13. Self-declaration of the parents 14. Self-Declaration of Applicant 15. Document Proof for Legally Adoption
Revenue Administration,Other Backward Classes (OBC) Certificate,PPT/CSCOperator_REV-115_OtherBackwardClasses(OBC)Certificate.pdf,0,60,"Supporting Documents 1. Photo 2. Any Address Proof 3. Proof of Income (Payslip, Income Certificate, etc) 4. Community Certificate 5. Income Tax Return 6. Self-Declaration of Applicant 7. Income Tax Return 8. Other Documents 9. Proof of Income (Payslip, Income Certificate, etc)"
Revenue Administration,Residence Certificate,PPT/CSCOperator_REV-116_ResidenceCertificate.pdf,0,60,1. Photo 2. Current Address Proof 3. Self-Declaration of Applicant 4. Passport 5. Driving Licence 6. PAN Card 7. Passbooks with photograph issued by Bank/Post Office 8. Smart Card issued by RGI under NPR 9. Health Insurance Smart Card issued under the scheme of Ministry of Labour 10. Pension Document with Photograph 11. Service Identity Cards with Photograph issued to employees by Central/State Govt 12. Officials Identity cards issued to MPs/MLAs/MLCs 13. Authenticated Photo Voter Slip issued by the election machinery
Revenue Administration,Small / Marginal Farmer Certificate,PPT/CSCOperator_REV-117_SmallMarginalFarmerCertificate.pdf,0,60,1. Photo 2. Chitta 3. Self-Declaration of Applicant 4. Adangal 5. Encumbrance 6. Any Address Proof 7. Sale Deeds 8. Other Documents
Revenue Administration,Solvency Certificate,PPT/CSCOperator_REV-118_SolvencyCertificate.pdf,0,60,1. Photo 2. Solvency proof of the Applicant 3. Encumbrance Certificate 4. Latest Guideline Value Statement 5. Liability Amount Certificate 6. Mortgage Certificate 7. Property Tax 8. Challan Copy 9. Chitta or Patta 10. Self-Declaration of Applicant 11. Lease Agreement 12. Building Value 13. Other Documents
Revenue Administration,No Male Child Certificate,PPT/CSCOperator_REV-119_NoMaleChildCertificate.pdf,0,60,1. Combined Photo of Parents 2. Residence Proof 3. Sterilization Certificate of Parents 4. Birth certificate of First Children 5. Birth certificate of Second Children 6. Birth certificate of Third Children 7. Birth certificate of Fourth Children 8. Birth certificate of Fifth Children 9. Birth certificate of Sixth Children 10. Birth certificate of Seventh Children 11. Birth certificate of Eighth Children 12. Birth certificate of Ninth Children 13. Birth certificate of Tenth Children 14. Family or Smart Card 15. Self-Declaration of Applicant 16. Other documents
Revenue Administration,Unmarried Certificate,PPT/CSCOperator_REV-120_UnmarriedCertificate.pdf,0,60,1. Photo 2. Any Address Proof 3. Age Proof 4. Self-Declaration of Applicant 5. Other Documents
Revenue Administration,Economically Weaker Sections(Income & Assets),PPT/CSCOperator_REV-122_Economically Weaker Section.pdf,0,60,1. Applicant Photo 2. Any Address Proof 3. TIN Number and the Trade 4. Details of Land Holdings 5. Details of houses owned ward wise 6. Smart or Ration Card 7. Self-Declaration of Applicant 8. Affidavit 9. Salary Certificate(Latest) 10. PAN card
Revenue Administration,Issuance of Jain Religious Minority Certificate,PPT/CSCOperator_REV_123_Issuance_of_Jain_Religious_Minority.pdf,0,60,1. Applicant Photo 2. Address Proof (Aadhaar Card or Voter ID Card or Passport or Driving Licence or Bank Passbookor Pension Payment order) 3. Copy of Jain Religious Minority Certificate of Parents of the applicant 4. Jain Certificate obtained from an authorised signatory of a Jain Temple or Jain Sthanak or Jain Bhavan The Trusts or Societies should have been enrolled with District Collector 5. Religion of Father & Mother 6. Self Declaration of the Applicant
Revenue Administration,Destitute Widow Certificate,PPT/CSCOperator_REV_123_Destitute_Widow_Certificate.pdf,0,60,1. Applicant Photo 2. Smart or Ration Card 3. Death Certificate of husband 4. Legal Heir Certificate 5. Aadhar Card 6. Income Certificate 7. Self Declaration of the Applicant 8. Address proof
Revenue Administration,Indira Gandhi National Old Age Pension Scheme (IGNOPS),PPT/CSCOperator_REV_201_Indira_Gandhi_National_Old_Age.pdf,0,10,"1. Applicant Photo 2. Aadhaar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. Self-declaration of Applicant 6. Any Identity Proof(Voter ID Card,Passport,PAN Card,Driving License) 7. Bank Passbook"
Revenue Administration,Destitute Widow Pension Scheme (DWPS),PPT/CSCOperator_REV_202_Destitute_Widow_Pension_Scheme.pdf,0,10,"1. Applicant Photo 2. Aadhaar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. Husband Death Certificate 6. Self-declaration of Applicant 7. Widow Certificate 8. Any Identity Proof(Voter ID Card,Passport,PAN Card,Driving License) 9. Bank Passbook"
Revenue Administration,Destitute Deserted Woman Pension Scheme (DDWPS),PPT/CSCOperator_REV_203_Destitute_Deserted_Woman_Pension.pdf,0,10,"1. Applicant Photo 2. Aadhaar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. Court order copy 6. Self-declaration of Applicant 7. Any Identity Proof(Voter ID Card,Passport,PAN Card,Driving License) 8. Bank Passbook"
Revenue Administration,Unmarried Women Pension Scheme (UWPS),PPT/CSCOperator_REV_204_Unmarried_Women_Pension_Scheme.pdf,0,10,"1. Applicant Photo 2. Aadhaar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. Self-declaration of Applicant 6. Bank Passbook 7. Any Identity Proof(Voter ID Card,Passport,PAN Card,Driving License)"
Revenue Administration,Chief Minister Uzhavar Pathukapu Thittam (CMUPT),PPT/CSCOperator_REV_205_Chief_Minister_Uzhavar_Pathukapu.pdf,0,10,"1. Applicant Photo 2. Aadhaar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. CMUPT Card 6. Self-declaration of Applicant 7. Bank Passbook 8. Any Identity Proof(Voter ID Card,Passport,PAN Card,Driving License)"
Revenue Administration,Differently Abled Pension Scheme (DAPS),PPT/CSCOperator_REV_206_Differently_Abled_Pension_Scheme.pdf,0,10,"1. Applicant Photo 2. Aadhar Card 3. Aadhaar Consent Form 4. Smart or Ration Card or Any Address Proof 5. National Disability ID Card 6. Self-declaration of Applicant 7. Any Identity Proof Voter ID Card, Passport, PAN Card, Driving License(Optional) 8. Bank Passbook"
Revenue Administration,Licence under Pawn Broker Act,PPT/CSCOperator_REV_401_Licence_Under_Pawn_Broker_Act.pdf,0,60,1. Photo 2. Residence Proof 3. Solvency Certificate of the Applicant 4. Shop Address Proof 5. Property Document Proof or Patta or Chitta 6. Previous Licence 7. Challan 8. Form A 9. Nominee character certificate 10. Nominee solvency proof 11. Nominee residence proof 12. Building Licence document 13. Building Blue Print 14. PAN Card 15. Self-Declaration of Applicant 16. Lease Agreement 17. IT Return document
Revenue Administration,Money Lender's Licence,PPT/CSCOperator_REV-402_Money Lender_s Licence.pdf,0,60,1. Photo 2. Residence Proof 3. Solvency Certificate of the Applicant 4. Shop Address Proof 5. Property Document Proof or Patta or Chitta 6. Previous Licence 7. Challan 8. Form A 9. Building Licence document 10. Building Blue Print 11. PAN Card 12. Self-Declaration of Applicant 13. Lease Agreement 14. IT Return document
Revenue Administration,Issuance of Public Building Licence,PPT/CSCOperator_REV_404_Issuance_of_Public_Building_Licence.pdf,0,500,1. Copy of Building License 2. Building Stability Certificate 3. NOC from fire and Rescue Department 4. Sanitary Certificate from Local Body 5. Building Plan as aaproved by Competent Authority 6. Ownership Deed 7. Legal Document for Lease 8. Legal Document for Mortage in Possession 9. Legal Document for Auhtority Signatory 10. Self-Declaration of Applicant 11. Challan Copy 12. Address Proof 13. Other Documents
Revenue Administration,Temporary Crackers Licence,PPT/CSCOperator_REV_403_Temporary Crackers License.pdf,0,500,"1. Applicant Photo 2. Proof of Address 3. Identity Proof (PAN Card or Aadhaar Card or EPIC Card or Driving Licence or Passport, etc.) 4. Fee Challan Copy 5. Registered Lease Document 6. Rental Agreement 7. NOC from Concern Department 8. Legal title documents(Patta or Title Deed etc.) 9. Local body receipt 10. Self Declaration 11. Site Map (A4 size) or Buliding Plan Approval 12. Any other supporting documents (if any) 13. Application form details"
Tamil Nadu Civil Supplies Corporation,Farmer Registration Form,PPT/TNS-501_Farmer_Registration_Form User Manual(CSCOperator).pdf,0,20,NA
TN Electrical Inspectorate,Issuance of Drawing Approval,PPT/CSCOperator_TEI_401_Issuance_of_Drawing_Approval.pdf,0,300,NA
TN Electrical Inspectorate,Issuance of Safety Certificate,PPT/CSCOperator_TEI_402_Issuance_of_Safety_Certificate.pdf,0,300,NA
TNHUD,Application for Registration of Tenancy Agreement,PPT/TNHUD Registration_of_Tenancy_services.pdf,0,100,NA
Public Works Department,User Registration,PPT/CSC_PWD_401_User_Registration.pdf,0,0,NA
Public Works Department,Online Sand Booking,PPT/CSC_PWD_402_Online_Sand_Booking.pdf,0,100,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Registration,PPT/CSC_TWB-201_Claim_Registration.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Renewal,PPT/CSC_TWB-202_Claim_Renewal.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Updation,PPT/CSC_TWB-203_Claim_Updation.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Application-Construction Board Accident Death at worksite,PPT/CSC_TWB_204_Claim_Application_Construction_Board_Accident.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Application-Construction Board-Compensation for accidental death and disability,PPT/CSC_TWB_205_Claim_Application_Construction_Board_Compensation.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Application-Construction Board-Disability Pension,PPT/CSC_TWB_206_Claim_Application_Construction_Board_Disability.pdf,0,60,NA
Tamil Nadu Unorganised Workers Welfare Board,Claim Application-Construction Board-Education Assistance for 10th /12th Standard pass,PPT/CSC_TWB_207_Claim_Application_Construction_Board_Education.pdf,0,60,NA
